"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29","X.30"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Metrics","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Mississippi","ABBEVILLE","MAIN OFFICE","270026001","8 E LONG ST","ABBEVILLE","MS","38601-9998","Jul-75","Landlord","7/1/2010","6/30/2020","B","B","Reimbursable","","","","JEROME P MAGDOVITZ","8199 POPLAR AVE APT 1113","","","GERMANTOWN","TN","381386159","","1,400","25,410","$12,600.00 ","$9.00 ","$0.00 ","$0.00 "
"5","Mississippi","ACKERMAN","MAIN OFFICE","270052001","1035 W MAIN ST","ACKERMAN","MS","39735-9998","May-53","Landlord","9/1/2015","8/31/2020","P","P","None Specified","","","","ACKERMAN LODGE #119","A F & A M","PO BOX 669","","ACKERMAN","MS","397350669","","2,088","8,710","$14,000.00 ","$6.70 ","$0.00 ","$0.00 "
"6","Mississippi","ALGOMA","MAIN OFFICE","270104002","5 MAIN AVE","ALGOMA","MS","38820-9998","Sep-90","USPS","9/1/2015","8/31/2020","A","A","Reimbursable","","1","5","FDI POSTAL PROPERTIES I INC","PO BOX 659","","","MOUNT AIRY","MD","217710659","","600","10,000","$4,620.00 ","$7.70 ","$4,980.00 ","$8.30 "
"7","Mississippi","ALLIGATOR","MAIN OFFICE","270117003","5 MAIN ST","ALLIGATOR","MS","38720-9998","Aug-90","USPS","8/1/2015","7/31/2020","A","A","None Specified","","1","5","BRUNO FARMS LLC","507 FREDERICK DR","","","CLEVELAND","MS","387322003","","700","3,000","$4,800.00 ","$6.86 ","$5,200.00 ","$7.43 "
"8","Mississippi","ANGUILLA","MAIN OFFICE","270156002","119 HOLLAND ST","ANGUILLA","MS","38721-9998","Apr-86","USPS","4/1/2016","3/31/2021","B","B","Reimbursable","","1","5","HENRY PROPERTIES INC","PO BOX 4665","","","GREENVILLE","MS","387044665","","1,375","22,167","$14,000.00 ","$10.18 ","$15,400.00 ","$11.20 "
"9","Mississippi","ARCOLA","MAIN OFFICE","270169001","104 S DEER CREEK DR","ARCOLA","MS","38722-9998","Oct-60","Landlord","1/1/2001","","A","A","None Specified","N","","","CLIFTON HARRIS ET UX","MAXINE HARRIS","PO BOX 383","","ARCOLA","MS","387220383","","1,075","1,763","$6,000.00 ","$5.58 ","$0.00 ","$0.00 "
"10","Mississippi","ARKABUTLA","MAIN OFFICE","270182003","8294 ARKABUTLA RD","ARKABUTLA","MS","38602-9998","Oct-81","USPS (Not Roof)","10/1/2011","9/30/2016","B","B","None Specified","N","1","5","HORSESHOE BUILDERS","PO BOX 1300","","","WEST MEMPHIS","AR","723011300","","1,200","9,813","$14,400.00 ","$12.00 ","$13,000.00 ","$10.83 "
