"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29","X.30"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Metrics","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Northern Ohio","ADENA","MAIN OFFICE","380063001","16 W MAIN ST","ADENA","OH","43901-9800","Dec-51","Landlord","12/1/2014","11/30/2019","P","P","None Specified","","1","5","AMY J SEBRING","18 WEST MAIN ST","","","ADENA","OH","439017829","","1,097","2,357","$8,712.00 ","$7.94 ","$9,583.20 ","$8.74 "
"5","Northern Ohio","AKRON","FAIRLAWN BRANCH","380084030","2711 W MARKET ST","FAIRLAWN","OH","44333-9998","Jun-96","Landlord","9/1/2014","8/31/2019","A","A","None Specified","","","","PHILLIPS EDISON-ARC SHOPPING","CENTER OPERATING PARTNERSHIP LP","D/B/A HARTVILLE STATION LLC","11501 NORTHLAKE DR","CINCINNATI","OH","452491669","","28,300","26,000","$272,246.00 ","$9.62 ","$0.00 ","$0.00 "
"6","Northern Ohio","AKRON","FIVE POINTS STATION","380084046","634 W EXCHANGE ST","AKRON","OH","44302-9998","Jan-91","Shared","4/1/2015","3/31/2020","P","P","None Specified","N","","","ALBRECHT INCORPORATED","PO BOX 1714","","","AKRON","OH","443091714","","23,585","49,480","$146,292.00 ","$6.20 ","$0.00 ","$0.00 "
"7","Northern Ohio","AKRON","MANCHESTER DET UNIT","380084026","3235 MANCHESTER RD UNIT A","AKRON","OH","44319-1497","Jan-84","Landlord","1/1/1984","","E","E","None Specified","N","","","THE FRED W ALBRECHT GROCERY CO","C/O ALBRECHT INC","ATTN REAL EST DEPT","PO BOX 1714","AKRON","OH","443091714","","53","53","$3,600.00 ","$67.92 ","$0.00 ","$0.00 "
"8","Northern Ohio","ALGER","MAIN OFFICE","380105001","101 S MAIN ST","ALGER","OH","45812-9998","Nov-53","Landlord","7/1/2013","6/30/2018","P","P","None Specified","","1","5","ALGER COMMUNITY FIRE ASSOCIATION INC","PO BOX 31","","","ALGER","OH","458120031","","1,113","1,474","$8,652.00 ","$7.77 ","$8,911.56 ","$8.01 "
"9","Northern Ohio","ALVADA","MAIN OFFICE","380140001","12125 W COUNTY ROAD 10","ALVADA","OH","44802-9800","May-72","Landlord","5/1/2015","4/30/2020","P","P","None Specified","","2","10","LOIS ARNOLD","REVOCABLE LIVING TRUST","PO BOX 13","","ALVADA","OH","448020013","","483","2,013","$3,812.00 ","$7.89 ","$4,193.00 ","$8.68 "
"10","Northern Ohio","ALVORDTON","MAIN OFFICE","380147002","119 E MAIN ST","ALVORDTON","OH","43501-9998","Oct-74","USPS","10/1/2012","9/30/2017","A","A","Reimbursable","","","","PAUL F DULING","AND/ OR JANET M DULING","6628 ROAD J6","","OTTAWA","OH","458759737","","864","2,919","$4,500.00 ","$5.21 ","$0.00 ","$0.00 "
