"leased","District","POName","UnitName","PropertyID","PropertyAddress","City","ST","ZIPCode","Occupied","Maint","EffDate","ExpDate","BldgOwn","LandOwn","TaxClause","PurchaseOption","LONbr","LOYears","LessorName","LessorAddress1","LessorAddress2","LessorAddress3","LessorCity","LessorSt","LessorZIP","IntSqFt","SiteSqFt","AnnualRent","AnnualRent.SqFt","NextRent","NextRent.SqFt","Fin.Sub","ChrgblFinNo","County","PropertyStatus","Ownership","FDBID.All.","AMSLocaleKey.All.","FDBFacilityType.All.","FDBFacilitySubtype.All.","BuildingOwnershipDescription","LandDesc","Maintenance","SpaceCertifiedIndicator","BldgOccuDate","BldgtoLandSqFtRatio"
1,"Louisiana","NATCHEZ","MAIN OFFICE","216461002","9465 HIGHWAY 1","NATCHEZ","LA","71456-9998","Feb-84","USPS (Not Roof)","2/1/2014","1/31/2019","A","A","None Specified","N",NA,NA,"LAWRENCE M MAGDOVITZ","PO BOX 997",NA,NA,"CLARKSDALE","MS","386140997",1067,19200,10670,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"Dakotas","NEW ROCKFORD","MAIN OFFICE",NA,"827 1ST AVE N","NEW ROCKFORD","ND","58356-9998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6745,30130,NA,NA,NA,NA,"376640-G01",376640,"EDDY","Active","Owned",1374859,"W19174","Post Office","Administrative Post Office (APO)","USPS Building, Transferred","USPS Land, Transferred","USPS","No","6/1/1939"," 2/9"
0,"Nevada Sierra","LAS VEGAS","WINTERWOOD BRANCH",NA,"5070 VEGAS VALLEY DR","LAS VEGAS","NV","89142-9998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,151153,NA,NA,NA,NA,"314880-G42",314880,"CLARK","Active","Owned",1433066,"1998","Post Office","Station","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","Yes","7/1/2001"," 1/8"
0,"Louisiana","KENNER","MAIN OFFICE",NA,"2300 WILLIAMS BLVD","KENNER","LA","70062-9998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12589,84480,NA,NA,NA,NA,"214745-G02",214745,"JEFFERSON","Active","Owned",1368861,"Y23947","Post Office","Main Post Office","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","Yes","10/1/1977"," 1/7"
1,"San Francisco","PHILLIPSVILLE","MAIN OFFICE","55982002","2788 HIGHWAY 254","PHILLIPSVILLE","CA","95559-9998","Jul-94","Landlord","7/11/2014","7/10/2019","A","A","None Specified","Y",1,NA,"DOROTHY A RUSSELL","GRAHAM RUSSELL","PO BOX 126",NA,"PHILLIPSVILLE","CA","955590126",600,2000,9583,15.97,10542,17.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,"New York","NEW YORK","TIMES SQUARE STATION",NA,"340 W 42ND ST","NEW YORK","NY","10036-9998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90095,2000,NA,NA,NA,NA,"359657-G01",359657,"NEW YORK","Active","Owned",1384689,"V16531","Post Office","Station","USPS Building, Prev. Leased","USPS Land, Prev. Leased","USPS","Yes","2/1/1952","45"
1,"Northern New England","LYNDON CENTER","MAIN OFFICE","504396001","325 CENTER ST","LYNDON CENTER","VT","05850-9998","Feb-55","Landlord","4/1/2015","3/31/2018","B","B","None Specified",NA,NA,NA,"LYNDON INSTITUTE","PO BOX 127",NA,NA,"LYNDON CENTER","VT","58500127",980,1236,15400,15.71,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Ft Worth","BIG LAKE","MAIN OFFICE","480770002","210 E 2ND ST","BIG LAKE","TX","76932-9998","Feb-98","Landlord","2/19/2013","2/18/2018","A","A","Reimbursable","Y",2,10,"ROGER MANNING","JANICE MANNING","3309 KESSLER PL",NA,"ROSEWELL","NM","882010303",2957,28800,35000,11.84,48848,16.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Portland","ROGUE RIVER","MAIN OFFICE","407248002","522 E MAIN ST","ROGUE RIVER","OR","97537-9675","Oct-84","USPS","10/14/2014","10/13/2019","B","B","Reimbursable",NA,1,5,"DUANE B BUSCH","1433 BURLINGAME AVENUE","PO BOX 151",NA,"BURLINGAME","CA","940110151",5472,17360,47400,8.66,51000,9.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Greater Michigan","EAST JORDAN","MAIN OFFICE","252730001","103 2ND ST","EAST JORDAN","MI","49727-5130","Jul-63","USPS (Not Roof)","7/1/2013","6/30/2018","A","A","Reimbursable",NA,NA,NA,"LORI RODMAN","DBA LETTER RIP LLC","1191 RIVER RD",NA,"OSTRANDER","OH","430619720",2847,8885,29500,10.36,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
