"","Owned.Area...Building.Inventory.2","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22"
"1","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","Fin-Sub","Chrgbl Fin No","PO Name","Unit Name","Property Address","County","City","ST","ZIP Code","Property Status","Ownership","FDB ID (All)","AMS Locale Key (All)","FDB Facility Type (All)","FDB Facility Subtype (All)","Building Ownership Description","Land Desc","Maintenance","Space Certified Indicator","Bldg Occu Date","Int Sq Ft","Site Sq Ft","Bldg to Land Sq Ft Ratio"
"4","Greater Indiana","170110-G01","170110","ALEXANDRIA","MAIN OFFICE","205 W CHURCH ST","MADISON","ALEXANDRIA","IN","46001-9998","Active","Owned","1352672","X11435","Post Office","Administrative Post Office (APO)","USPS Building, Transferred","USPS Land, Transferred","USPS","Yes","4/1/1936","8,605","17,761"," 1/2"
"5","Greater Indiana","170165-G01","170165","AMBIA","MAIN OFFICE","109 E OAK ST","BENTON","AMBIA","IN","47917-9998","Active","Owned","1352926","X11448","Post Office","Remotely Managed Post Office (RMPO)","USPS Building, Not Prev. Leased","USPS Land, Prev. Leased","USPS","No","4/1/1993","950","25,204"," 0/1"
"6","Greater Indiana","170198-G05","170198","ANDERSON","MAIN OFFICE","1505 RAIBLE AVE","MADISON","ANDERSON","IN","46011-9998","Active","Owned","1353048","X11453","Post Office","Main Post Office","USPS Building, Prev. Leased","USPS Land, Prev. Leased","USPS","Yes","11/1/1962","30,336","143,750"," 1/5"
"7","Greater Indiana","170198-G08","170198","ANDERSON IN","MAIN OFFICE PARKING","2536 W 16TH AVE","IOWA","ANDERSON","IN","46018-9998","Active","Owned","","","","","USPS Building, Prev. Leased","USPS Land, Prev. Leased","Unknown","No","","0","0",""
"8","Greater Indiana","170330-G01","170330","ATTICA","MAIN OFFICE","107 E MAIN ST","FOUNTAIN","ATTICA","IN","47918-9998","Active","Owned","1353629","X11496","Post Office","Administrative Post Office (APO)","USPS Building, Transferred","USPS Land, Transferred","USPS","Yes","6/1/1936","6,946","16,592"," 3/7"
"9","Greater Indiana","170352-G02","170352","AUBURN","MAIN OFFICE","201 S JACKSON ST","DE KALB","AUBURN","IN","46706-9998","Active","Owned","1353665","X11498","Post Office","Main Post Office","USPS Building, Transferred","USPS Land, Transferred","USPS","Yes","2/1/1935","9,094","19,536"," 4/9"
"10","Ohio Valley","170363-G01","170363","AURORA","MAIN OFFICE","501 3RD ST","DEARBORN","AURORA","IN","47001-9998","Active","Owned","1353714","X11501","Post Office","Main Post Office","USPS Building, Transferred","USPS Land, Transferred","USPS","No","1/1/1936","5,967","17,500"," 1/3"
"11","Ohio Valley","170440-G01","170440","BATESVILLE","MAIN OFFICE","3 W GEORGE ST","RIPLEY","BATESVILLE","IN","47006-9998","Active","Owned","1354184","X11539","Post Office","Administrative Post Office (APO)","USPS Building, Transferred","USPS Land, Transferred","USPS","Yes","6/1/1937","6,776","15,500"," 4/9"
"12","Greater Indiana","170473-G02","170473","BEDFORD","MAIN OFFICE","1720 H ST","LAWRENCE","BEDFORD","IN","47421-9998","Active","Owned","1354396","X11550","Post Office","Administrative Post Office (APO)","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","Yes","2/1/1976","7,709","46,037"," 1/6"
