"","Owned.Area...Building.Inventory.2","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22"
"1","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","Fin-Sub","Chrgbl Fin No","PO Name","Unit Name","Property Address","County","City","ST","ZIP Code","Property Status","Ownership","FDB ID (All)","AMS Locale Key (All)","FDB Facility Type (All)","FDB Facility Subtype (All)","Building Ownership Description","Land Desc","Maintenance","Space Certified Indicator","Bldg Occu Date","Int Sq Ft","Site Sq Ft","Bldg to Land Sq Ft Ratio"
"4","Kentuckiana","200271-G02","200271","ASHLAND","MAIN OFFICE","1140 CARTER AVE","BOYD","ASHLAND","KY","41101-9998","Active","Owned","1353484","X14216","Post Office","Main Post Office","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","Yes","7/1/1986","45,424","132,756"," 1/3"
"5","Kentuckiana","200271-G02","200271","ASHLAND","MAIN OFFICE","1140 CARTER AVE","BOYD","ASHLAND","KY","41101-9998","Active","Owned","1473652","17673","Post Office","Service Hub Facility (SHF)","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","Yes","7/1/1986","45,424","132,756"," 1/3"
"6","Kentuckiana","200304-G01","200304","AUSTIN","MAIN OFFICE","3453 AUSTIN TRACY RD","BARREN","AUSTIN","KY","42123-9998","Active","Owned","1353726","X14226","Post Office","Remotely Managed Post Office (RMPO)","USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased","USPS","No","8/1/1988","600","18,075"," 0/1"
"7","Kentuckiana","200304-G01","200304","AUSTIN","MAIN OFFICE","3453 AUSTIN TRACY RD","BARREN","AUSTIN","KY","42123-9998","Active","Owned","1462237","16303","Post Office","Non Personnel Unit (NPU)","USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased","USPS","No","8/1/1988","600","18,075"," 0/1"
"8","Kentuckiana","200376-G02","200376","BARBOURVILLE","MAIN OFFICE","122 N ALLISON AVE","KNOX","BARBOURVILLE","KY","40906-9998","Active","Owned","1354027","X14245","Post Office","Administrative Post Office (APO)","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","Yes","11/1/1990","11,359","112,000"," 1/9"
"9","Kentuckiana","200508-G01","200508","BEECH GROVE","MAIN OFFICE","435 MAIN ST","MCLEAN","BEECH GROVE","KY","42322-9998","Active","Owned","1354423","X14289","Post Office","Remotely Managed Post Office (RMPO)","USPS Building, Not Prev. Leased","Land Data on separate record","USPS","No","12/1/1996","650","650","1"
"10","Kentuckiana","200580-G03","200580","BEREA","MAIN OFFICE","222 GLADES RD","MADISON","BEREA","KY","40403-9998","Active","Owned","1354712","X14312","Post Office","Main Post Office","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","Yes","12/1/1999","16,467","303,178"," 0/1"
"11","Kentuckiana","200660-G02","200660","BIG CLIFTY","MAIN OFFICE MODULAR","50 MAIN ST","GRAYSON","BIG CLIFTY","KY","42712-9998","Active","Owned","1354902","X14332","Post Office","Remotely Managed Post Office (RMPO)","USPS Building, Not Prev. Leased","Land Data on separate record","USPS","No","12/1/1996","650","0",""
