"","Owned.Area...Building.Inventory.2","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22"
"1","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","Fin-Sub","Chrgbl Fin No","PO Name","Unit Name","Property Address","County","City","ST","ZIP Code","Property Status","Ownership","FDB ID (All)","AMS Locale Key (All)","FDB Facility Type (All)","FDB Facility Subtype (All)","Building Ownership Description","Land Desc","Maintenance","Space Certified Indicator","Bldg Occu Date","Int Sq Ft","Site Sq Ft","Bldg to Land Sq Ft Ratio"
"4","Louisiana","210026-G03","210026","ABBEVILLE","MAIN OFFICE","1421 VETERANS MEMORIAL DR","VERMILION","ABBEVILLE","LA","70510-3133","Active","Owned","1352258","Y23300","Post Office","Administrative Post Office (APO)","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","Yes","9/1/1999","15,230","161,704"," 0/1"
"5","Louisiana","210143-G06","210143","ALEXANDRIA","MAIN OFFICE","1715 ODOM ST","RAPIDES","ALEXANDRIA","LA","71301-9998","Active","Owned","","","","","USPS Building, Prev. Leased","USPS Land, Prev. Leased","USPS","Yes","10/1/1972","37,251","241,246"," 1/7"
"6","Louisiana","210143-G05","210143","ALEXANDRIA","MAINTENANCE UNIT","1715 ODOM ST","RAPIDES","ALEXANDRIA","LA","71301-9998","Active","Owned","","","","","USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased","USPS","Yes","12/1/1987","6,767","35,000"," 1/5"
"7","Louisiana","210143-G04","210144","ALEXANDRIA","SOUTH PARK STATION","3401 GOVERNMENT ST","RAPIDES","ALEXANDRIA","LA","71302-9996","Active","Owned","1438964","Y24478","Post Office","Station","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","Yes","3/1/1997","25,496","217,800"," 1/9"
"8","Louisiana","210143-G07","210143","ALEXANDRIA","VMF","1715 ODOM ST","RAPIDES","ALEXANDRIA","LA","71301-9323","Active","Owned","1352663","Y23313","Post Office","Main Post Office","USPS Building, Prev. Leased","USPS Land, Prev. Leased","USPS","Yes","10/1/1972","6,405","19,800"," 1/3"
"9","Louisiana","210143-G07","210143","ALEXANDRIA","VMF","1715 ODOM ST","RAPIDES","ALEXANDRIA","LA","71301-9323","Active","Owned","1444227","8546","Vehicle Maintenance","Vehicle Maintenance Facility (VMF)","USPS Building, Prev. Leased","USPS Land, Prev. Leased","USPS","Yes","10/1/1972","6,405","19,800"," 1/3"
"10","Louisiana","210143-G07","210143","ALEXANDRIA","VMF","1715 ODOM ST","RAPIDES","ALEXANDRIA","LA","71301-9323","Active","Owned","1473471","17555","Post Office","Service Hub Facility (SHF)","USPS Building, Prev. Leased","USPS Land, Prev. Leased","USPS","Yes","10/1/1972","6,405","19,800"," 1/3"
"11","Louisiana","210299-G01","210299","ARABI","MAIN OFFICE","748 MEHLE ST","ST. BERNARD","ARABI","LA","70032-1100","Active","Owned","1353219","Y23331","Post Office","Remotely Managed Post Office (RMPO)","USPS Building, Transferred","USPS Land, Transferred","USPS","Yes","6/1/1937","6,917","18,900"," 3/8"
"12","Louisiana","210325-G01","210325","ARCADIA","MAIN OFFICE","1979 N RAILROAD AVE","BIENVILLE","ARCADIA","LA","71001-9998","Active","Owned","1353250","Y23332","Post Office","Administrative Post Office (APO)","USPS Building, Transferred","USPS Land, Transferred","USPS","No","6/1/1938","4,825","18,000"," 2/7"
