"","Owned.Area...Building.Inventory.2","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22"
"1","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","Fin-Sub","Chrgbl Fin No","PO Name","Unit Name","Property Address","County","City","ST","ZIP Code","Property Status","Ownership","FDB ID (All)","AMS Locale Key (All)","FDB Facility Type (All)","FDB Facility Subtype (All)","Building Ownership Description","Land Desc","Maintenance","Space Certified Indicator","Bldg Occu Date","Int Sq Ft","Site Sq Ft","Bldg to Land Sq Ft Ratio"
"4","Caribbean","522003-G01","522003","CHARLOTTE AMALIE","EMANCIPATION GDN.STA","5046 NORRE GADE","VIRGIN ISLANDS U","ST THOMAS","VI","00802-9995","Active","Owned","1434009","V19865","Post Office","Station","USPS Building, Transferred","USPS Land, Transferred","USPS","Yes","7/1/1938","14,563","21,552"," 2/3"
"5","Caribbean","522000-G02","522000","CHARLOTTE AMALIE","MAIN OFFICE","9846 ESTATE THOMAS","VIRGIN ISLANDS U","ST THOMAS","VI","00802-9998","Active","Owned","1357689","V17301","Post Office","Main Post Office","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","Yes","8/1/1976","35,898","126,583"," 2/7"
"6","Caribbean","522000-G04","522000","CHARLOTTE AMALIE","VETERANS DRIVE ANNEX","6500 VETERANS DR","VIRGIN ISLANDS U","ST THOMAS","VI","00802-9992","Active","Owned","1385902","V17312","Post Office","Station","USPS Building, Const. by USPS","USPS Land, Prev. Leased","USPS","Yes","9/1/1991","13,376","50,181"," 1/4"
"7","Caribbean","523000-G02","523000","CHRISTIANSTED","MAIN OFFICE","1104 ESTATE RICHMOND","VIRGIN ISLANDS U","CHRISTIANSTED","VI","00820-9998","Active","Owned","1358006","V17302","Post Office","Main Post Office","USPS Building, Prev. Leased","USPS Land, Prev. Leased","USPS","Yes","8/1/1966","9,896","35,600"," 2/7"
"8","Caribbean","525000-G01","525000","FREDERIKSTED","MAIN OFFICE","1 MARS HL","VIRGIN ISLANDS U","FREDERIKSTED","VI","00840-9998","Active","Owned","1364078","V17305","Post Office","Main Post Office","USPS Building, Prev. Leased","USPS Land, Prev. Leased","USPS","No","3/1/1995","6,845","23,155"," 2/7"
"9","Caribbean","526000-G01","526000","KINGSHILL","MAIN OFFICE","2 EST LA REINE","VIRGIN ISLANDS U","KINGSHILL","VI","00850-9998","Active","Owned","1369095","V17306","Post Office","Main Post Office","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","Yes","9/1/1974","23,600","162,043"," 1/7"
"10","Total","","","","","","","","","","","","","","","","","","","","","104,178","419,114","--"
"11","Count","","","","","","","","","","","","","","","","","","","","","6","6","6"
