"","Owned.Area...Building.Inventory.2","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22"
"1","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","Fin-Sub","Chrgbl Fin No","PO Name","Unit Name","Property Address","County","City","ST","ZIP Code","Property Status","Ownership","FDB ID (All)","AMS Locale Key (All)","FDB Facility Type (All)","FDB Facility Subtype (All)","Building Ownership Description","Land Desc","Maintenance","Space Certified Indicator","Bldg Occu Date","Int Sq Ft","Site Sq Ft","Bldg to Land Sq Ft Ratio"
"4","Lakeland","560240-G01","560240","ANTIGO","MAIN OFFICE","501 CLERMONT ST","LANGLADE","ANTIGO","WI","54409-9998","Active","Owned","1353157","Y16906","Post Office","Administrative Post Office (APO)","USPS Building, Transferred","USPS Land, Transferred","USPS","Yes","6/1/1917","26,370","29,040"," 8/9"
"5","Lakeland","560250-G02","560250","APPLETON","MAIN OFFICE","410 W FRANKLIN ST","OUTAGAMIE","APPLETON","WI","54911-9998","Active","Owned","1353201","Y16908","Post Office","Main Post Office","USPS Building, Const. by USPS","USPS Land, Transferred","USPS","Yes","10/1/1975","44,233","194,575"," 2/9"
"6","Northland","560370-G01","560370","ASHLAND","MAIN OFFICE","615 MAIN ST W","ASHLAND","ASHLAND","WI","54806-1300","Active","Owned","1353491","Y16923","Post Office","Administrative Post Office (APO)","USPS Building, Transferred","USPS Land, Transferred","USPS","Yes","6/1/1940","27,860","64,900"," 3/7"
"7","Northland","560590-G01","560590","BARRONETT","MAIN OFFICE MODULAR","2964 US HIGHWAY 63","BARRON","BARRONETT","WI","54813-9464","Active","Owned","1354100","Y16957","Post Office","Remotely Managed Post Office (RMPO)","USPS Building, Not Prev. Leased","Land Data on separate record","USPS","No","8/1/2000","675","0",""
"8","Northland","560630-G01","560630","BAY CITY","MAIN OFFICE MODULAR","W6372 MAIN ST","PIERCE","BAY CITY","WI","54723-8324","Active","Owned","1354236","Y16961","Post Office","Remotely Managed Post Office (RMPO)","USPS Building, Not Prev. Leased","Land Data on separate record","USPS","No","11/1/1997","675","0",""
"9","Lakeland","560680-G02","560680","BEETOWN","Main Office","9502 MUSCALLOUNGE RD","GRANT","BEETOWN","WI","53802-9701","Active","Owned","1354442","Y16971","Post Office","Remotely Managed Post Office (RMPO)","USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased","USPS","No","","634","12,635"," 0/1"
"10","Lakeland","560780-G01","560780","BERLIN","MAIN OFFICE","122 S PEARL ST","GREEN LAKE","BERLIN","WI","54923-9998","Active","Owned","1354749","Y16986","Post Office","Administrative Post Office (APO)","USPS Building, Transferred","USPS Land, Transferred","USPS","Yes","6/1/1937","7,674","17,424"," 4/9"
"11","Northland","560850-G01","560850","BLACK RIVER FALLS","MAIN OFFICE","108 FILLMORE ST","JACKSON","BLACK RIVER FALLS","WI","54615-1741","Active","Owned","1355063","Y16999","Post Office","Administrative Post Office (APO)","USPS Building, Transferred","USPS Land, Transferred","USPS","Yes","6/1/1939","8,432","16,500"," 1/2"
"12","Lakeland","560880-G01","560880","BLANCHARDVILLE","MAIN POST OFFICE","606 MAIN STREET","LAFAYETTE","BLANCHARDVILLE","WI","53516-9726","Active","Owned","1355128","Y17002","Post Office","Remotely Managed Post Office (RMPO)","USPS Building, Prev. Leased","USPS Land, Prev. Leased","USPS","Yes","11/1/1992","2,002","27,738"," 0/1"
