"","Owned.Area...Building.Inventory.2","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22"
"1","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","Fin-Sub","Chrgbl Fin No","PO Name","Unit Name","Property Address","County","City","ST","ZIP Code","Property Status","Ownership","FDB ID (All)","AMS Locale Key (All)","FDB Facility Type (All)","FDB Facility Subtype (All)","Building Ownership Description","Land Desc","Maintenance","Space Certified Indicator","Bldg Occu Date","Int Sq Ft","Site Sq Ft","Bldg to Land Sq Ft Ratio"
"4","South Jersey","090220-G03","95173","BEAR","MAIN OFFICE","125 RICKEY BLVD","NEW CASTLE","BEAR","DE","19701-9998","Active","Owned","1354313","V21192","Post Office","Administrative Post Office (APO)","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","Yes","3/1/1998","25,561","190,488"," 1/7"
"5","South Jersey","090220-G03","95173","BEAR","MAIN OFFICE","125 RICKEY BLVD","NEW CASTLE","BEAR","DE","19701-9998","Active","Owned","1433199","2414","Post Office","Carrier Annex (ANX)","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","Yes","3/1/1998","25,561","190,488"," 1/7"
"6","South Jersey","091870-G02","91870","ELLENDALE","MAIN OFFICE","508 MAIN ST","SUSSEX","ELLENDALE","DE","19941-9998","Active","Owned","1362368","V21257","Post Office","Remotely Managed Post Office (RMPO)","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","No","10/1/2000","1,200","17,600"," 0/1"
"7","South Jersey","092200-G01","92200","FELTON","MAIN OFFICE","1 W SEWELL ST","KENT","FELTON","DE","19943-9998","Active","Owned","1363292","V21268","Post Office","Administrative Post Office (APO)","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","No","8/1/2000","6,463","158,100"," 0/1"
"8","South Jersey","092420-G01","92420","FREDERICA","MAIN OFFICE","128 W FRONT ST","KENT","FREDERICA","DE","19946-9997","Active","Owned","1364058","V21275","Post Office","Main Post Office","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","No","8/1/2000","3,049","88,200"," 0/1"
"9","South Jersey","092530-G03","92530","GEORGETOWN","MAIN OFFICE","115 S KING ST","SUSSEX","GEORGETOWN","DE","19947-9998","Active","Owned","1364650","V21277","Post Office","Main Post Office","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","Yes","11/1/1992","10,489","91,476"," 1/9"
"10","South Jersey","092860-G01","92860","HARRINGTON","MAIN OFFICE","2 COMMERCE ST","KENT","HARRINGTON","DE","19952-9998","Active","Owned","1366295","V21289","Post Office","Administrative Post Office (APO)","USPS Building, Not Prev. Leased","USPS Land, Not Prev. Leased","USPS","Yes","6/1/1937","6,904","10,980"," 5/8"
"11","South Jersey","093630-G03","93630","LAUREL","MAIN OFFICE","1121 S CENTRAL AVE","SUSSEX","LAUREL","DE","19956-9998","Active","Owned","1369947","V21303","Post Office","Administrative Post Office (APO)","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","Yes","","7,368","115,000"," 0/1"
"12","South Jersey","093740-G01","93740","LEWES","MAIN OFFICE","116 FRONT ST","SUSSEX","LEWES","DE","19958-9998","Active","Owned","1370313","V21304","Post Office","Main Post Office","USPS Building, Transferred","USPS Land, Transferred","USPS","Yes","6/1/1915","3,963","11,281"," 1/3"
