"","Owned.Area...Building.Inventory.2","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22"
"1","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","Fin-Sub","Chrgbl Fin No","PO Name","Unit Name","Property Address","County","City","ST","ZIP Code","Property Status","Ownership","FDB ID (All)","AMS Locale Key (All)","FDB Facility Type (All)","FDB Facility Subtype (All)","Building Ownership Description","Land Desc","Maintenance","Space Certified Indicator","Bldg Occu Date","Int Sq Ft","Site Sq Ft","Bldg to Land Sq Ft Ratio"
"4","Greater Michigan","250010-G01","250010","ADA","MAIN OFFICE","7125 HEADLEY ST SE","KENT","ADA","MI","49301-9998","Active","Owned","1352338","Y11315","Post Office","Main Post Office","USPS Building, Prev. Leased","USPS Land, Not Prev. Leased","USPS","No","7/1/1991","4,704","23,085"," 1/5"
"5","Detroit","250030-G03","250030","ADRIAN","MAIN OFFICE","413 E MAUMEE ST","LENAWEE","ADRIAN","MI","49221-9998","Active","Owned","1352401","Y11318","Post Office","Administrative Post Office (APO)","USPS Building, Prev. Leased","USPS Land, Prev. Leased","USPS","Yes","3/1/1960","11,010","37,462"," 2/7"
"6","Greater Michigan","250080-G01","250080","ALANSON","MAIN OFFICE","6263 RIVER ST","EMMET","ALANSON","MI","49706-9998","Active","Owned","1352558","Y11324","Post Office","Administrative Post Office (APO)","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","No","","3,600","0",""
"7","Greater Michigan","250080-G01","250080","ALANSON","MAIN OFFICE","6263 RIVER ST","EMMET","ALANSON","MI","49706-9998","Active","Owned","1454786","14889","Post Office","Detached Box Unit","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","No","","3,600","0",""
"8","Detroit","250100-G01","250100","ALBION","MAIN OFFICE","307 N SUPERIOR ST","CALHOUN","ALBION","MI","49224-9998","Active","Owned","1352604","Y11327","Post Office","Administrative Post Office (APO)","USPS Building, Transferred","USPS Land, Transferred","USPS","Yes","6/1/1917","16,306","36,357"," 4/9"
"9","Greater Michigan","250140-G01","250140","ALLEGAN","MAIN OFFICE","300 TROWBRIDGE ST","ALLEGAN","ALLEGAN","MI","49010-9998","Active","Owned","1352707","Y11331","Post Office","Main Post Office","USPS Building, Transferred","USPS Land, Transferred","USPS","Yes","12/1/1936","8,550","10,344"," 5/6"
"10","Detroit","252491-G03","252496","ALLEN PARK","AUX VMF","17500 OAKWOOD BLVD","WAYNE","ALLEN PARK","MI","48101-2775","Active","Owned","","","","","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","Yes","","5,714","20,909"," 2/7"
"11","Greater Michigan","250190-G01","250190","ALMA","MAIN OFFICE","233 N STATE ST","GRATIOT","ALMA","MI","48801-2276","Active","Owned","1352769","Y11339","Post Office","Administrative Post Office (APO)","USPS Building, Transferred","USPS Land, Transferred","USPS","Yes","3/1/1938","9,234","27,291"," 1/3"
"12","Detroit","250280-G05","250282","ANN ARBOR","GREEN ROAD STATION","3000 GREEN RD","WASHTENAW","ANN ARBOR","MI","48105-9998","Active","Owned","1365546","Y11998","Post Office","Station","USPS Building, Const. by USPS","USPS Land, Not Prev. Leased","USPS","Yes","2/1/1991","16,439","175,000"," 0/1"
