"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Connecticut Valley","ADAMSVILLE","MAIN OFFICE","430280001","70A CRANDALL RD","ADAMSVILLE","RI","02801-9800","Nov-58","Landlord","1/1/2016","12/31/2020","A","A","Percentage","","1","5","JANET H HENSLE","83 HOLIDAY CT","","","WAKEFIELD","RI","28794454","480","1,980","$9,768.00 ","$20.35 ","$9,768.00 ","$20.35 "
"5","Connecticut Valley","ALBION","MAIN OFFICE","430420001","15 SCHOOL ST","ALBION","RI","02802-9800","Jun-58","Landlord","11/1/2014","10/31/2019","B","B","None Specified","","","","WILLIE E DETONNANCOURT","350 PROVIDENCE PIKE","","","NORTH SMITHFIELD","RI","28968012","779","779","$13,540.00 ","$17.38 ","$0.00 ","$0.00 "
"6","Connecticut Valley","ASHAWAY","MAIN OFFICE","430840002","129 MAIN ST","ASHAWAY","RI","02804-2239","Nov-88","USPS (Not Roof)","11/1/2013","10/31/2018","A","A","Reimbursable","Y","","","JOHN J ANTHONY LLC","7740 NW 10TH CT","","","PLANTATION","FL","333225111","2,322","2,462","$40,000.00 ","$17.23 ","$0.00 ","$0.00 "
"7","Connecticut Valley","BLOCK ISLAND","MAIN OFFICE","431260002","32T WATER ST","BLOCK ISLAND","RI","02807-9800","Nov-96","Landlord","11/1/1996","10/31/2016","A","A","Reimbursable","N","","","EDWARD P PHILLIPS","PO BOX 597","","","BLOCK ISLAND","RI","28070597","4,071","33,900","$98,616.00 ","$24.22 ","$10.00 ","$0.00 "
"8","Connecticut Valley","BRADFORD","MAIN OFFICE","431400001","416 BRADFORD RD","BRADFORD","RI","02808-9998","Jul-62","Landlord","7/1/2015","6/30/2020","A","A","Percentage","","","","JOAN ABRUZZESE","MICHAEL AND PAMELA ABRUZZESE","PO BOX 1093","","WESTERLY","RI","28911093","1,600","8,760","$24,750.00 ","$15.47 ","$0.00 ","$0.00 "
"9","Connecticut Valley","BRISTOL","MAIN OFFICE","431540001","515 HOPE ST","BRISTOL","RI","02809-9998","Jun-62","USPS (Not Roof)","6/1/2012","5/31/2017","A","A","Reimbursable","N","2","10","FEDERAL PROP OF RI INC","328 HIGH ST","","","BRISTOL","RI","28091926","7,304","26,393","$127,600.00 ","$17.47 ","$0.00 ","$0.00 "
"10","Connecticut Valley","CAROLINA","MAIN OFFICE","431820001","790 ALTON CAROLINA RD","CAROLINA","RI","02812-9800","Nov-68","Landlord","11/1/2013","10/31/2018","A","A","None Specified","","1","5","VIRGINIA R WOODMANSEE","JOHN E WOODMANSEE III","PO BOX 17","","CAROLINA","RI","28120017","864","5,424","$11,445.00 ","$13.25 ","$12,132.00 ","$14.04 "
