"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Caribbean","CHARLOTTE AMALIE","EAST END STATION","522004001","4605 TUTU PARK MALL STE 179","ST THOMAS","VI","00802-9993","Apr-94","Shared","5/1/2014","4/30/2019","A","A","None Specified","N","","","TUTU PARK LIMITED","4605 TUTU PARK MALL","SUITE 254","","ST. THOMAS","VI","8021736","3,490","4,090","$134,029.00 ","$38.40 ","$0.00 ","$0.00 "
"5","Caribbean","CHARLOTTE AMALIE","FORTUNA KIOSK","522000006","3C-C ESTATE FORTUNA","ST THOMAS","VI","00801-9998","","USPS (Not Roof)","7/1/2012","6/30/2022","A","A","","","","","V I HOUSING","C/O ADRIENNE L. WILLIAMS","3202 DEMARARA PLAZA, STE 200","","ST. THOMAS","VI","8026447","0","0","$1.00 ","$0.00 ","$0.00 ","$0.00 "
"6","Caribbean","CHARLOTTE AMALIE","HAVENSIGHT","522001001","9007 HAVENSIGHT SHOPP CTR STE D","ST THOMAS","VI","00802-9994","Jul-97","USPS (Not Roof)","7/1/2012","6/30/2017","A","A","None Specified","","1","5","GERS EMPLOYERS RETIREMENT","WEST INDIAN COMPANY LIMITED","P.O. BOX 7660","","ST THOMAS","VI","8010660","1,280","1,530","$61,440.00 ","$48.00 ","$64,000.00 ","$50.00 "
"7","Caribbean","CHRISTIANSTED","DOWNTOWN STATION","523001001","2119 MARKET SQ","CHRISTIANSTED","VI","00820-9996","Nov-01","Shared","11/1/2001","10/31/2021","P","P","Reimbursable","","4","20","CHRISTIANSTED POSTAL","PROPERTIES LLC","7 PRICES SWITCH RD","","VERNON","NJ","74623311","5,845","5,580","$119,950.00 ","$20.52 ","$0.00 ","$0.00 "
"8","Caribbean","CHRISTIANSTED","GALLOWS BAY STATION","523003001","5027 ANCHOR WAY STE 1","CHRISTIANSTED","VI","00820-9995","Jun-88","Shared","6/1/2013","5/31/2018","A","A","None Specified","N","1","5","CPTC INVESTMENTS, LLC","POB 26230","","","CHRISTIANSTED","VI","8242230","4,500","20,000","$96,000.00 ","$21.33 ","$102,000.00 ","$22.67 "
"9","Caribbean","CHRISTIANSTED","SUNNY ISLE STATION","523002001","4500 SUNNY ISLE STE 53","CHRISTIANSTED","VI","00820-9997","Sep-82","USPS","9/1/2015","8/31/2020","A","A","None Specified","","1","5","SUNNY ISLE DEVELOPERS LLC","PO BOX 5994","","","CHRISTIANSTED","VI","8235994","4,562","0","$104,379.00 ","$22.88 ","$114,817.00 ","$25.17 "
"10","Caribbean","CRUZ BAY","MAIN OFFICE","524000001","100 VESTER GADE","ST JOHN","VI","00830-9998","Jan-70","Shared","1/1/2010","12/31/2019","A","A","None Specified","N","4","40","GOVT OF VIRGIN ISLAND","DEPT OF PROP & PROC BLDG #1","SUB BASE","","ST THOMAS","VI","8029999","2,154","7,678","$9,600.00 ","$4.46 ","$9,600.00 ","$4.46 "
