"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Capital","WASHINGTON","ANACOSTIA FINANCE STA","105000070","2833 ALABAMA AVE SE","WASHINGTON","DC","20020-9995","Aug-97","USPS (Not Roof)","8/5/2012","8/4/2017","A","A","Percentage","","2","10","GOOD HOPE MARKETPLACE L.P.","C/O ROSENTHAL PROPERTIES LLC","1945 OLD GALLOWS RD STE 300","","VIENNA","VA","221823931","6,546","7,176","$199,650.00 ","$30.50 ","$0.00 ","$0.00 "
"5","Capital","WASHINGTON","BENNING STATION","105000153","3937 1/2 MINNESOTA AVE NE","WASHINGTON","DC","20019-2662","Dec-91","USPS","12/1/2011","11/30/2016","A","A","Percentage","","","","EAST RIVER MZL LLC","C O KATZ PROPERTIES","247 WEST 30TH ST 11TH FLR","","NEW YORK","NY","100012824","4,956","4,956","$90,000.00 ","$18.16 ","$107,991.00 ","$21.79 "
"6","Capital","WASHINGTON","BRIGHTWOOD STATION","105000118","6323 GEORGIA AVE NW STE A","WASHINGTON","DC","20011-1142","Feb-85","USPS","2/1/2015","1/31/2020","B","B","","","1","5","NASPIRA MEDICAL HOLDINGS  LLC","6323 GEORGIA AVE NW STE 107","","","WASHINGTON","DC","200111149","4,000","4,120","$122,000.00 ","$30.50 ","$0.00 ","$0.00 "
"7","Capital","WASHINGTON","CALVERT STA","105000003","2336 WISCONSIN AVE NW","WASHINGTON","DC","20007-1843","May-57","USPS","8/1/2015","7/31/2025","P","P","Percentage","","","","ISEN BROTHERS LLC","9132 MARSEILLE DRIVE","","","POTOMAC","MD","208542201","1,786","1,786","$108,790.00 ","$60.91 ","$0.00 ","$0.00 "
"8","Capital","WASHINGTON","CHILLUM PLACE COL HGTS CA","105000165","6510 CHILLUM PL NW","WASHINGTON","DC","20012-9997","May-97","USPS","5/17/2012","5/16/2017","P","P","None Specified","N","3","10","MFS CHILLUM LLC","CO FINMARC MANAGEMENT INC","7200 WISCONSIN AVENUE STE 1100","","BETHESDA","MD","208144845","38,821","46,461","$461,969.90 ","$11.90 ","$0.00 ","$0.00 "
"9","Capital","WASHINGTON","CITY DEL ANNEX PKG 2","105000172","6200 CHILLUM ROAD, NW.","WASHINGTON","DC","20012-9998","","Landlord","6/1/1995","","X","D","None Specified","Y","","","CELESTIAL CHURCH OF CHRIST INC","PO BOX 60701","","","WASHINGTON","DC","200390701","0","9,000","$14,500.00 ","$1.61 ","$0.00 ","$0.00 "
"10","Capital","WASHINGTON","CLEVELAND PARK STA","105000022","3430 CONNECTICUT AVE NW","WASHINGTON","DC","20008-1306","Aug-51","Landlord","8/1/2015","7/31/2020","B","B","Reimbursable","N","1","5","JAY KAY REALTY LLC","C/O NATHAN K KOTZ","P O BOX 11640","","WASHINGTON","DC","200080840","5,904","21,796","$276,000.00 ","$46.75 ","$318,000.00 ","$53.86 "
