"","Leased.Facility.Inventory.Report","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26","X.27","X.28","X.29"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","District","PO Name","Unit Name","Property ID","Property Address","City","ST","ZIP Code","Occupied","Maint","Eff Date","Exp Date","Bldg Own","Land Own","Tax Clause","Purchase Option","LO Nbr","LO Years","Lessor Name","Lessor Address1","Lessor Address2","Lessor Address3","Lessor City","Lessor St","Lessor ZIP","Int Sq Ft","Site Sq Ft","Annual Rent","Annual Rent / Sq Ft","Next Rent","Next Rent / Sq Ft"
"4","Nevada Sierra","AMARGOSA VALLEY","MAIN OFFICE","310200003","1921 E SAGE ST","AMARGOSA VALLEY","NV","89020-9800","Sep-87","USPS (Not Roof)","9/1/2007","8/31/2017","P","P","Reimbursable","","","","THE MARY KATHLEEN HOWARD TRUST","P O BOX 3068","","","KETCHUM","ID","833403068","2,074","55,000","$32,200.00 ","$15.53 ","$0.00 ","$0.00 "
"5","Nevada Sierra","AUSTIN","MAIN OFFICE","310400001","166 MAIN ST","AUSTIN","NV","89310-9995","Aug-68","USPS","8/1/2015","7/31/2020","A","A","Reimbursable","","","","ELISABETH S LANI","P O BOX 125","","","AUSTIN","NV","893100125","900","5,000","$9,098.12 ","$10.11 ","$0.00 ","$0.00 "
"6","Nevada Sierra","BAKER","MAIN OFFICE","310480003","101 CARSON ST","BAKER","NV","89311-9995","May-90","Landlord","5/1/2015","4/30/2025","A","A","Reimbursable","","","","JOHNSON LIVING TRUST","BILL LEE JOHNSON TTEE","MARY ANN JOHNSON TTEE","543 E CLARK ST","GRANTSVILLE","UT","840299363","1,510","22,000","$25,600.00 ","$16.95 ","$0.00 ","$0.00 "
"7","Nevada Sierra","BATTLE MOUNTAIN","MAIN OFFICE","310560002","810 SUNSET DR","BATTLE MOUNTAIN","NV","89820-2617","Jul-83","USPS","7/1/2013","6/30/2018","A","A","Reimbursable","","","","ROYCE HUGH WORDEN","5544 MONTIA COURT","","","ORANGEVALE","CA","956625310","4,145","22,400","$37,305.00 ","$9.00 ","$0.00 ","$0.00 "
"8","Nevada Sierra","BATTLE MOUNTAIN","MAIN OFFICE LAND","310560003","NOT YET AVAILABLE","BATTLE MOUNTAIN","NV","89820-9998","","USPS","7/1/2013","6/30/2018","X","Z","None Specified","","1","5","MARK CHILTON AND","KATHRYN CHILTON","PO BOX 357","","BATTLE MOUNTAIN","NV","898200357","0","19,167","$4,195.00 ","$0.22 ","$4,500.00 ","$0.23 "
"9","Nevada Sierra","BEATTY","MAIN OFFICE","310640002","600 E HWY 95 N","BEATTY","NV","89003-0107","Jun-87","USPS (Not Roof)","6/1/2007","5/31/2017","A","A","Reimbursable","","","","JOHN S ADAMICK FAMILY TRUST","JOHN S ADAMICK TRSTEE","BONNIE ADAMICK TRSTEE","PO BOX 6366","BURBANK","CA","915106366","2,485","40,000","$40,521.00 ","$16.31 ","$43,985.00 ","$17.70 "
"10","Nevada Sierra","BLUE DIAMOND","MAIN OFFICE","310880001","2 DIAMOND ST","BLUE DIAMOND","NV","89004-9800","Mar-68","Landlord","3/1/2012","2/28/2017","A","A","None Specified","","","","BLUE DIAMOND STAR LLC","PO BOX 111","","","BLUE DIAMOND","NV","890040111","768","9,300","$10,800.00 ","$14.06 ","$11,500.00 ","$14.97 "
